epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,100.051,1.24566,2.154,1.29158,0.71023,0.65211,0.72121,0.49577,1.05782,1.31241,1.10368,0.00996429,0.00332143,0.00996429,0.00332143,0.00996429,0.00332143,0.00996429,0.00332143
2,185.209,1.23586,1.52557,1.28478,0.68633,0.63796,0.67605,0.46525,1.06245,1.22805,1.16009,0.0197666,0.00658888,0.0197666,0.00658888,0.0197666,0.00658888,0.0197666,0.00658888
3,267.87,1.34342,1.52354,1.35673,0.59398,0.47941,0.51037,0.31455,1.36428,1.70116,1.46127,0.029371,0.00979033,0.029371,0.00979033,0.029371,0.00979033,0.029371,0.00979033
4,347.556,1.37383,1.48939,1.39118,0.69312,0.60137,0.63815,0.433,1.15966,1.34381,1.27332,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,428.272,1.30183,1.34082,1.34829,0.72781,0.62054,0.71042,0.49067,1.09845,1.18104,1.20501,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,507.67,1.25268,1.23942,1.32005,0.73009,0.5811,0.68212,0.48406,1.12502,1.1892,1.22804,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,587.657,1.22027,1.18426,1.29827,0.77626,0.75776,0.81906,0.59419,1.01448,0.84662,1.13137,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,666.331,1.1911,1.12198,1.27926,0.77092,0.68873,0.77498,0.55387,1.00557,0.93643,1.15099,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,745.862,1.17581,1.09349,1.27308,0.81251,0.69293,0.78817,0.58346,0.95612,0.85664,1.13192,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,824.495,1.15861,1.06932,1.2616,0.8109,0.78392,0.8511,0.6291,0.95474,0.75605,1.1014,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,904.212,1.14143,1.02363,1.25067,0.81423,0.75341,0.84246,0.62526,0.949,0.7724,1.10169,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
